ref,포지션종류,진입일,진입가,청산일,청산가,가격변동%,손익,손익%,size,value,누적손익,캔들갯수,손익/캔들갯수,mfe%,mae%
1,long,2017-10-03 09:00:00,4380.0,2017-12-30 09:00:00,14378.99,228.29,1139029.45,49.91,114,499320.0,1139029.45,88,12943.52,352.02,-6.16
2,short,2017-12-30 09:00:00,14378.99,2018-02-21 09:00:00,11195.07,-22.14,234853.09,10.24,-74,-1064045.26,1373882.54,53,4431.19,58.27,-19.45
3,long,2018-02-21 09:00:00,11195.07,2018-03-14 09:00:00,9151.92,-18.25,-215385.32,-9.48,105,1175482.35,1158497.21,21,-10256.44,4.6,-29.43
4,short,2018-03-14 09:00:00,9151.92,2018-04-19 09:00:00,8173.99,-10.69,113606.96,4.97,-117,-1070774.64,1272104.17,36,3155.75,29.74,-1.99
5,long,2018-04-19 09:00:00,8173.99,2018-05-16 09:00:00,8462.0,3.52,39108.43,1.68,139,1136184.61,1311212.6,27,1448.46,22.58,-1.15
6,short,2018-05-16 09:00:00,8462.0,2018-07-09 09:00:00,6712.1,-20.68,237160.93,9.34,-136,-1150832.0,1548373.53,54,4391.87,32.05,-1.74
7,long,2018-07-09 09:00:00,6712.1,2018-08-09 09:00:00,6283.27,-6.39,-82031.32,-3.39,189,1268586.9,1466342.21,31,-2646.17,26.51,-9.57
8,short,2018-08-09 09:00:00,6283.27,2018-08-31 09:00:00,6984.84,11.17,-138547.94,-5.94,-196,-1231520.92,1327794.27,22,-6297.63,6.42,-13.56
9,long,2018-08-31 09:00:00,6984.84,2018-09-13 09:00:00,6338.62,-9.25,-108157.2,-4.93,166,1159483.44,1219637.07,13,-8319.78,6.09,-12.51
10,short,2018-09-13 09:00:00,6338.62,2018-09-30 09:00:00,6597.66,4.09,-46237.54,-2.12,-175,-1109258.5,1173399.53,17,-2719.86,3.4,-7.89
11,long,2018-09-30 09:00:00,6597.66,2018-10-14 09:00:00,6332.92,-4.01,-44265.61,-2.08,164,1082016.24,1129133.93,14,-3161.83,1.79,-5.95
12,short,2018-10-14 09:00:00,6332.92,2018-10-23 09:00:00,6581.2,3.92,-42578.87,-2.05,-168,-1063930.56,1086555.06,9,-4730.99,0.52,-21.27
13,long,2018-10-23 09:00:00,6581.2,2018-10-28 09:00:00,6505.6,-1.15,-12771.89,-0.62,158,1039829.6,1073783.17,5,-2554.38,0.74,-1.95
14,short,2018-10-28 09:00:00,6505.6,2018-12-26 09:00:00,3745.56,-42.43,438194.39,17.37,-159,-1034390.4,1511977.56,59,7427.02,51.48,-1.68
15,long,2018-12-26 09:00:00,3745.56,2019-01-15 09:00:00,3626.08,-3.19,-41013.6,-1.64,335,1254762.6,1470963.96,20,-2050.68,8.66,-8.12
16,short,2019-01-15 09:00:00,3626.08,2019-02-13 09:00:00,3631.51,0.15,-2833.23,-0.12,-340,-1232867.2,1468130.73,29,-97.7,7.62,-2.96
17,long,2019-02-13 09:00:00,3631.51,2019-06-11 09:00:00,7981.0,119.77,1472902.45,37.16,339,1231081.89,2941033.18,118,12482.22,149.88,-1.75
18,short,2019-06-11 09:00:00,7981.0,2019-06-17 09:00:00,8953.0,12.18,-240778.31,-6.38,-246,-1963326.0,2700254.87,6,-40129.72,3.62,-18.33
19,long,2019-06-17 09:00:00,8953.0,2019-07-19 09:00:00,10628.64,18.72,343568.31,8.45,206,1844318.0,3043823.19,32,10736.51,56.04,-0.03
20,short,2019-07-19 09:00:00,10628.64,2019-08-08 09:00:00,11975.04,12.67,-257533.88,-6.8,-190,-2019441.6,2786289.31,20,-12876.69,13.77,-16.01
21,long,2019-08-08 09:00:00,11975.04,2019-08-22 09:00:00,10140.82,-15.32,-291204.48,-8.32,158,1892056.32,2495084.82,14,-20800.32,0.71,-18.58
22,short,2019-08-22 09:00:00,10140.82,2019-09-11 09:00:00,10098.19,-0.42,5939.92,0.17,-172,-1744221.04,2501024.74,20,297.0,8.09,-7.54
23,long,2019-09-11 09:00:00,10098.19,2019-09-24 09:00:00,9702.2,-3.92,-69876.46,-1.92,173,1746986.87,2431148.28,13,-5375.11,3.47,-22.76
24,short,2019-09-24 09:00:00,9702.2,2019-10-28 09:00:00,9528.23,-1.79,29264.9,0.86,-176,-1707587.2,2460413.18,34,860.73,24.76,-6.88
25,long,2019-10-28 09:00:00,9528.23,2019-11-18 09:00:00,8502.87,-10.76,-186895.61,-5.61,181,1724609.63,2273517.57,21,-8899.79,3.92,-15.41
26,short,2019-11-18 09:00:00,8502.87,2019-12-30 09:00:00,7388.43,-13.11,212752.03,6.16,-192,-1632551.04,2486269.6,42,5065.52,24.32,-0.01
27,long,2019-12-30 09:00:00,7388.43,2020-01-03 09:00:00,6965.49,-5.72,-100740.17,-3.06,235,1736281.05,2385529.43,4,-25185.04,0.27,-7.0
28,short,2020-01-03 09:00:00,6965.49,2020-01-05 09:00:00,7354.19,5.58,-95845.97,-2.91,-243,-1692614.07,2289683.46,2,-47922.99,1.36,-7.6
29,long,2020-01-05 09:00:00,7354.19,2020-02-27 09:00:00,8786.0,19.47,317853.93,8.83,223,1639984.37,2607537.38,53,5997.24,42.78,-0.49
30,short,2020-02-27 09:00:00,8786.0,2020-04-06 09:00:00,6772.78,-22.91,411434.28,9.84,-205,-1801130.0,3018971.66,39,10549.6,56.95,-4.58
31,long,2020-04-06 09:00:00,6772.78,2020-05-30 09:00:00,9426.6,39.18,783612.71,16.56,296,2004742.88,3802584.38,54,14511.35,48.64,-4.5
32,short,2020-05-30 09:00:00,9426.6,2020-06-02 09:00:00,10202.71,8.23,-199126.28,-4.48,-254,-2394356.4,3603458.1,3,-66375.43,1.7,-10.11
33,long,2020-06-02 09:00:00,10202.71,2020-06-21 09:00:00,9358.95,-8.27,-191606.55,-4.33,225,2295609.75,3411851.55,19,-10084.56,0.26,-12.67
34,short,2020-06-21 09:00:00,9358.95,2020-07-16 09:00:00,9197.6,-1.72,36172.93,0.82,-235,-2199353.25,3448024.48,25,1446.92,5.62,-4.5
35,long,2020-07-16 09:00:00,9197.6,2020-07-17 09:00:00,9133.72,-0.69,-17162.22,-0.39,241,2216621.6,3430862.26,1,-17162.22,0.31,-1.63
36,short,2020-07-17 09:00:00,9133.72,2020-07-23 09:00:00,9518.16,4.21,-94839.98,-2.18,-242,-2210360.24,3336022.28,6,-15806.66,0.48,-5.81
37,long,2020-07-23 09:00:00,9518.16,2020-08-29 09:00:00,11526.9,21.1,454073.09,9.46,227,2160622.32,3790095.37,37,12272.25,30.99,-0.82
38,short,2020-08-29 09:00:00,11526.9,2020-10-01 09:00:00,10776.59,-6.51,153467.44,3.13,-207,-2386068.3,3943562.81,33,4650.53,14.76,-4.55
39,long,2020-10-01 09:00:00,10776.59,2021-01-27 09:00:00,32464.01,201.25,4962458.34,48.54,229,2467839.11,8906021.15,118,42054.73,289.27,-3.74
40,short,2021-01-27 09:00:00,32464.01,2021-02-07 09:00:00,39181.01,20.69,-1025340.02,-11.6,-152,-4934529.52,7880681.13,11,-93212.73,9.93,-26.16
41,long,2021-02-07 09:00:00,39181.01,2021-03-07 09:00:00,48882.2,24.76,1092254.01,11.19,113,4427454.13,8972935.15,28,39009.07,48.93,-4.67
42,short,2021-03-07 09:00:00,48882.2,2021-03-10 09:00:00,54874.67,12.26,-615465.22,-6.52,-102,-4985984.4,8357469.93,3,-205155.07,-0.0,-17.4
43,long,2021-03-10 09:00:00,54874.67,2021-04-24 09:00:00,51110.56,-6.86,-323552.85,-3.55,85,4664346.95,8033917.08,45,-7190.06,18.19,-13.44
44,short,2021-04-24 09:00:00,51110.56,2021-05-10 09:00:00,58240.83,13.95,-631312.93,-7.67,-88,-4497729.28,7402604.15,16,-39457.06,8.18,-16.41
45,long,2021-05-10 09:00:00,58240.83,2021-05-13 09:00:00,49537.15,-14.94,-629768.97,-8.11,72,4193339.76,6772835.18,3,-209922.99,2.16,-21.02
46,short,2021-05-13 09:00:00,49537.15,2021-06-18 09:00:00,38092.97,-23.1,889911.98,10.59,-78,-3863897.7,7662747.16,36,24719.78,39.44,-3.93
47,long,2021-06-18 09:00:00,38092.97,2021-06-24 09:00:00,33675.07,-11.6,-502466.62,-6.25,113,4304505.61,7160280.55,6,-83744.44,0.29,-24.38
48,short,2021-06-24 09:00:00,33675.07,2021-07-28 09:00:00,39456.61,17.17,-703105.91,-9.36,-121,-4074683.47,6457174.64,34,-20679.59,13.06,-21.45
49,long,2021-07-28 09:00:00,39456.61,2021-09-14 09:00:00,44940.72,13.9,512333.0,6.59,94,3708921.34,6969507.64,48,10673.6,34.12,-5.38
50,short,2021-09-14 09:00:00,44940.72,2021-10-07 09:00:00,55315.0,23.08,-916465.64,-13.18,-88,-3954783.36,6053042.0,23,-39846.33,11.88,-24.05
51,long,2021-10-07 09:00:00,55315.0,2021-11-21 09:00:00,59707.52,7.94,273830.19,3.7,63,3484845.0,6326872.19,45,6085.12,24.74,-3.54
52,short,2021-11-21 09:00:00,59707.52,2022-01-02 09:00:00,47722.66,-20.07,728455.16,9.09,-61,-3642158.72,7055327.35,42,17344.17,29.66,-0.54
53,long,2022-01-02 09:00:00,47722.66,2022-01-03 09:00:00,47286.18,-0.91,-39856.62,-0.49,84,4008703.44,7015470.73,1,-39856.62,0.56,-4.25
54,short,2022-01-03 09:00:00,47286.18,2022-02-09 09:00:00,44043.0,-6.86,269358.46,3.24,-84,-3972039.12,7284829.19,37,7279.96,30.39,-0.6
55,long,2022-02-09 09:00:00,44043.0,2022-02-25 09:00:00,38328.68,-12.97,-540243.26,-7.06,94,4140042.0,6744585.94,16,-33765.2,4.04,-22.07
56,short,2022-02-25 09:00:00,38328.68,2022-03-10 09:00:00,41941.7,9.43,-368157.94,-5.14,-101,-3871196.68,6376428.0,13,-28319.84,3.47,-18.45
57,long,2022-03-10 09:00:00,41941.7,2022-03-11 09:00:00,39422.01,-6.01,-222044.49,-3.08,87,3648927.9,6154383.51,1,-222044.49,0.23,-8.86
58,short,2022-03-11 09:00:00,39422.01,2022-03-19 09:00:00,41757.51,5.92,-213117.46,-3.05,-90,-3547980.9,5941266.05,8,-26639.68,4.74,-7.55
59,long,2022-03-19 09:00:00,41757.51,2022-04-13 09:00:00,40074.95,-4.03,-142369.32,-2.12,83,3465873.33,5798896.73,25,-5694.77,15.4,-6.12
60,short,2022-04-13 09:00:00,40074.95,2022-06-07 09:00:00,31373.1,-21.71,728554.75,9.72,-84,-3366295.8,6527451.47,55,13246.45,33.37,-7.24
61,long,2022-06-07 09:00:00,31373.1,2022-06-13 09:00:00,26574.53,-15.3,-573788.14,-7.67,119,3733398.9,5953663.34,6,-95631.36,0.69,-30.11
62,short,2022-06-13 09:00:00,26574.53,2022-07-14 09:00:00,20234.87,-23.86,821721.71,10.48,-130,-3454688.9,6775385.05,31,26507.15,33.69,-1.21
63,long,2022-07-14 09:00:00,20234.87,2022-08-23 09:00:00,21400.75,5.76,220651.34,2.77,192,3885095.04,6996036.39,40,5516.28,24.59,-3.06
64,short,2022-08-23 09:00:00,21400.75,2022-09-17 09:00:00,19803.3,-7.46,294060.12,3.52,-186,-3980539.5,7290096.51,25,11762.4,13.5,-6.53
65,long,2022-09-17 09:00:00,19803.3,2022-09-21 09:00:00,18874.31,-4.69,-197392.36,-2.41,209,4138889.7,7092704.15,4,-49348.09,1.95,-8.47
66,short,2022-09-21 09:00:00,18874.31,2022-10-12 09:00:00,19060.0,0.98,-42984.84,-0.53,-214,-4039102.34,7049719.32,21,-2046.9,3.96,-8.48
67,long,2022-10-12 09:00:00,19060.0,2022-10-16 09:00:00,19068.4,0.04,-1445.64,-0.02,211,4021660.0,7048273.68,4,-361.41,4.68,-4.56
68,short,2022-10-16 09:00:00,19068.4,2022-10-27 09:00:00,20771.61,8.93,-362739.81,-4.78,-211,-4023432.4,6685533.87,11,-32976.35,2.19,-10.23
69,long,2022-10-27 09:00:00,20771.61,2022-11-11 09:00:00,17602.45,-15.26,-589134.28,-8.18,185,3842747.85,6096399.59,15,-39275.62,3.41,-24.96
70,short,2022-11-11 09:00:00,17602.45,2022-12-08 09:00:00,16836.64,-4.35,151158.91,2.06,-201,-3538092.45,6247558.5,27,5598.48,12.08,-0.53
71,long,2022-12-08 09:00:00,16836.64,2022-12-24 09:00:00,16778.52,-0.35,-15386.7,-0.21,215,3619877.6,6232171.79,16,-961.67,9.21,-3.45
